doc_id	sentence_id	token_id	token	lemma	pos	tag	gender	number	head_token_id	dep_rel	intensifier_lemma	intensifier	text	account
text2422	2	2	breguinha	breguinha	ADJ	ADJ	Fem	Sing	2	ROOT	bem	1	kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk as coisas que a galera me manda, vc lê e se sente em 2002 😂😂😂😂😂 <linebreak> Bem breguinha. https://t.co/NALy9lUA8t	whindersson
text1483	1	5	básicos	básico	ADJ	ADJ	Masc	Plur	3	amod	bem	1	Venda de celulares bem básicos, sem aplicativos e conexão com a internet, está aumentando. Você trocaria seu smartphone por um desses? https://t.co/v8PwQgUnKa #g1	g1
text1607	3	6	babadeiras	babadeiras	ADJ	ADJ	Fem	Plur	4	amod	bem	1	Gente tá corrida a vida, não é fácil ser patroa kkk Pensando aqui, será que não tá na hora de criar algo novo com @BeatsOficial? Tô precisando de ideias bem babadeiras! Quem ajuda? #Publicidade #BebaComModeração	anitta
text2635	3	11	válido	válido	ADJ	ADJ	Masc	Sing	1	ccomp	extremamente	1	Nunca é tarde para a pessoa se reconhecer e ter percepção de quem ela é. Acho que, em qualquer idade, isso é extremamente válido, porque é muito difícil lutar contra isso, contra quem somos"", conheça a história de Maria Eduarda Henriques, de 54 anos https://t.co/YDnMrOWGFU #g1	g1
text441	1	2	sagaz	sagaz	ADJ	ADJ	Masc	Sing	2	ROOT	extremamente	1	Extremamente sagaz na arte de ser bonito e feio ao mesmo tempo 😎 https://t.co/RczHCZOMZT	whindersson
text1026	1	11	difícil	difícil	ADJ	ADJ	Fem	Sing	14	parataxis	extremamente	1	Situação no sul da Ucrânia e Donbass está 'extremamente difícil', diz Zelensky; SIGA a cobertura em tempo real da guerra na Ucrânia ==&gt; https://t.co/9CZSJejm3w #g1 https://t.co/bkSYGf03fX	g1
text1835	1	14	talentosa	talentoso	ADJ	ADJ	Fem	Sing	12	amod	incrivelmente	1	Quantos engenheiros e arquitetos novos apareceram aqui, meu deus muita gente incrivelmente talentosa!! 😍 <linebreak> Tem algum programador recém formado que possa me ajudar a desenvolver um App pra expor trabalhos desses jovens talentos??? Já que não vou conseguir trabalhar com todos	whindersson
text2014	1	12	visto	vestir	ADJ	ADJ	Masc	Sing	1	acl	mais	1	Anitta: clipe de 'Envolver' é o 4º mais visto em todo o mundo e o mais buscado no Brasil https://t.co/VyD18b8Q9I	oglobo
text264	2	13	vista	visto	ADJ	ADJ	Fem	Sing	7	acl:relcl	mais	1	Local fica na Patagônia. Três brasileiros estavam a bordo de aeronave, que não foi mais vista desde quarta-feira https://t.co/5t72m8U2z3 #g1	g1
text1534	1	18	violento	violentar	ADJ	ADJ	Masc	Sing	15	amod	mais	1	‘Killing Old People Club’: Criador de ‘Round 6’ prepara filme ainda mais violento que a série https://t.co/GYHAy0kP1C	oglobo
text1361	1	57	velho	velho	ADJ	ADJ	Masc	Sing	55	amod	mais	1	Quem anda comigo aprende a tirar foto, não pra mim, mas pra ela, pro resto da vida, e de quebra, nos testes da pessoa eu ainda ganho umas fotos que parecem ter sido tiradas por mim, amo foto e enquadramento, o aprendiz da vez foi o meu irmão mais velho https://t.co/BrILIvZA6D	whindersson
text2457	1	14	velho	velho	ADJ	ADJ	Masc	Sing	12	amod	mais	1	Autoridades do Palácio de Buckingham informaram que a rainha pediu ao filho mais velho, o príncipe Charles, para representá-la https://t.co/p7uOD1YsoH #g1	g1
text2941	1	6	velho	velho	ADJ	ADJ	Masc	Sing	4	amod	mais	1	Tsarnaev e seu irmão mais velho, Tamerlan, detonaram duas bombas caseiras feitas com panela de pressão na linha de chegada da Maratona de Boston, em 2013 https://t.co/JLNO0lPDbV #g1	g1
text2	1	9	velha	velho	ADJ	ADJ	Fem	Sing	7	amod	mais	1	Homem de 103 anos se torna pessoa mais velha do mundo a recuperar a audição https://t.co/lhNZhY7pJH	oglobo
text1009	1	13	urgentes	urgente	ADJ	ADJ	Fem	Plur	11	amod	mais	1	Providenciando 20 cilindros de 50L de oxigênio pra distribuir nas unidades mais urgentes em Manaus! <linebreak> Alô meus amigos artistas! Na hora de fazer show é tão bom quando o público nós recebe com carinho né, vamos retribuir???? 🙏🏼🙏🏼🙏🏼🙏🏼🙏🏼 https://t.co/l5jbd50vfR	whindersson
text851	2	11	transmissível	transmissível	ADJ	ADJ	Fem	Sing	9	amod	mais	1	Ômicron: Reino Unido estima que subvariante XE é 20% mais transmissível que a anterior https://t.co/z18wvJLl3U	oglobo
text206	2	8	teórica	teórico	ADJ	ADJ	Fem	Sing	5	obj	mais	1	@Gleisonesilva21 @oeduardovictor Hahahhaha eu vou fazer uma mais teórica e detalhada no only fans pq tem gente que paga lá pelas minhas lives falando de estratégia. Depois faço no insta do @QGdaAnitta pq daí posso falar só português	anitta
text2957	3	5	tenso	tenso	ADJ	ADJ	Masc	Sing	3	amod	mais	1	#OAssunto - A Rússia, que tem mais de 6 mil ogivas nucleares, ameaça quem tentar interferir na Ucrânia. É o momento mais tenso que o mundo vive desde 1962. Nesta edição, Vitélio Brustolin, da @uff_br, conversa com a @RenataLoPrete sobre o tema. Ouça: https://t.co/PH0gAsneZU #g1 https://t.co/cRrhiygoWe	g1
text3000	3	5	tenso	tenso	ADJ	ADJ	Masc	Sing	3	amod	mais	1	#OAssunto - A Rússia, que tem mais de 6 mil ogivas nucleares, ameaça quem tentar interferir na Ucrânia. É o momento mais tenso que o mundo vive desde 1962. Nesta edição, Vitélio Brustolin, da @uff_br, conversa com a @RenataLoPrete sobre o tema. Ouça: https://t.co/PH0gAs5E8m #g1 https://t.co/HbFB6iwwoG	g1
text1839	1	10	sinceras	sincero	ADJ	ADJ	Fem	Plur	8	amod	mais	1	Espero que vocês gostem de umas das entrevistas mais sinceras e divertidas que já fiz! ❤️ https://t.co/YLEcgvwCZl	whindersson
text2520	1	15	sincera	sincero	ADJ	ADJ	Fem	Sing	9	amod	mais	1	Vou contar a vocês como foi a minha ida pra África da forma mais sincera que eu puder. Depois disso vocês podem pensar o que quiserem sobre a Rafa, por favor leiam com atenção 🙏🏼	whindersson
text2343	1	24	simples	simples	ADJ	ADJ	Fem	Sing	22	amod	mais	1	“O pastor utiliza da fé e faz uma lavagem cerebral, uma pessoa normal não acreditaria nele, mas as pessoas mais simples e os idosos caem”, falou a advogada https://t.co/nHUMrAtV4R #g1	g1
text2209	1	18	sério	sério	ADJ	ADJ	Masc	Sing	16	xcomp	mais	1	Por favor algum prédio de sp deixa eu fazer um show numa sacada, não aguento mais sério	whindersson
text214	1	17	seco	secar	ADJ	ADJ	Masc	Sing	15	amod	mais	1	Segundo o jornal 'La Tercera', o ano de 2021 foi o quarto mais seco em toda a história do país, superado pelos anos de 1968, 1998 e 2019 https://t.co/gTiwhkPA8U #g1	g1
text473	4	4	saudável	saudável	ADJ	ADJ	Fem	Sing	4	ROOT	mais	1	@vinniravel @AnittaReality Vocês querem que eu tenha um break mental de tanto fazer tudo sozinha né, só pode. Não dá, meu amor... não estava mais saudável pra mim fazer todo o trabalho. Eu aguentei até onde deu. Precisamos conhecer nossos limites	anitta
text1335	1	3	roqueiro	roqueiro	ADJ	ADJ	Masc	Sing	1	amod	mais	1	Dia mais roqueiro do festival tem Libertines, Idles, Fresno e Black Pumas https://t.co/IEFjRkLboE #g1 #Lollapalooza2022	g1
text2214	1	4	rígidas	rígido	ADJ	ADJ	Fem	Plur	2	amod	mais	1	Com regras mais rígidas, prefeitura de Capitólio (MG) reabre visitação aos cânions https://t.co/fhVxD88NkH	oglobo
text2620	1	12	ricos	rico	ADJ	ADJ	Masc	Plur	13	amod	mais	1	Biden propõe orçamento que aumenta gastos militares e impostos dos mais ricos https://t.co/fR0Njo3bsU	oglobo
text2733	1	14	ricos	rico	ADJ	ADJ	Masc	Plur	12	amod	mais	1	Biden vai propor imposto mínimo de 20% sobre renda dos americanos mais ricos nesta segunda https://t.co/LQK4ir3rdc	oglobo
text306	1	17	ricos	rico	ADJ	ADJ	Masc	Plur	13	obl	mais	1	Reprovação é maior entre funcionários públicos e idosos, e aprovação é maior entre os mais ricos ==&gt; https://t.co/WALccwudVw #g1	g1
text1492	2	6	ricos	rico	ADJ	ADJ	Masc	Plur	2	obl	mais	1	Datafolha: Lula lidera entre mulheres e mais pobres; Bolsonaro lidera entre os mais ricos ==&gt; https://t.co/Kn2H0IWNCt #g1 https://t.co/qS4OSidkoj	g1
text1343	1	7	rico	rico	ADJ	ADJ	Masc	Sing	7	ROOT	mais	1	Dono do Arsenal é o mais rico do ramo esportivo em lista de bilionários da Forbes; veja o ranking https://t.co/g2TgCHZqRH	oglobo
text701	1	7	rico	rico	ADJ	ADJ	Masc	Sing	4	amod	mais	1	Elon Musk ocupa posto de mais rico do mundo pela primeira vez em lista anual da Forbes https://t.co/uLXCYo9djB #g1 https://t.co/olNYEZxJy4	g1
text2424	1	8	rico	rico	ADJ	ADJ	Masc	Sing	6	amod	mais	1	Bilionário é considerado o 142º homem mais rico do mundo, segundo ranking da Forbes https://t.co/5VbRxJwEdS #g1	g1
text669	2	9	ricas	rico	ADJ	ADJ	Fem	Plur	7	amod	mais	1	Herdeira da L'Oréal lidera ranking de bilionárias. Saiba quem são as outras 9 mulheres mais ricas do mundo https://t.co/u29GNMrXlZ	oglobo
text220	3	6	ricas	rico	ADJ	ADJ	Fem	Plur	4	amod	mais	1	Garimpeiros exigem sexo com meninas ianomâmis em troca de comida, diz relatório. França vai ter 2º turno entre Emmanuel Macron, que tenta a reeleição, e Marine Le Pen, candidata da extrema direita.  E as oito mulheres mais ricas do Brasil https://t.co/euGjXYdB8Y #g1 #resumododia https://t.co/RUyC1vTPtE	g1
text1257	2	5	recente	recente	ADJ	ADJ	Masc	Sing	3	amod	mais	1	1 - Incra <linebreak>  <linebreak> É o episódio mais recente, e foi revelado pelo #JornalOGlobo. O advogado Marconi Gonçalves,que comandou a superintendência do instituto no Maranhão entre novembro de 2021 e janeiro deste ano, contou em um depoimento à PF que recebeu pedido de propina logo após a posse. https://t.co/Qv1rBWxgKh	oglobo
text751	1	3	recente	recente	ADJ	ADJ	Masc	Sing	4	amod	mais	1	O mais recente deslocamento do governador para ir a uma celebração pelo ar foi interrompido por um pouso de emergência, quando a aeronave atingiu uma ave https://t.co/OFdxsKOk24 #g1	g1
text1962	1	12	recente	recente	ADJ	ADJ	Fem	Sing	13	amod	mais	1	Tratamento injetável da profilaxia pré-exposição (PrEP) é a mais recente inovação na prevenção do HIV https://t.co/8ebXZEtZgP #g1	g1
text1505	1	19	rebelde	rebelde	ADJ	ADJ	Masc	Sing	6	xcomp	mais	1	Tem bem um ano eu acho na, to lutando pra comportar esses da frente, tão mais rebelde q a Roberta pardo  <linebreak>  <linebreak> ESCUTE WHINDERSSON NO SPOTIFY https://t.co/Q52hnYvbqchttps://t.co/oekEQkGkpK	whindersson
text600	2	4	rápido	rápido	ADJ	ADJ	Masc	Sing	2	amod	mais	1	@oficialmussi O ex mais rápido que eu já tive na vida	anitta
text53	1	6	rápido	rápido	ADJ	ADJ	Masc	Sing	4	amod	mais	1	Devagar é o caminho mais rápido pra chegar onde deseja 🤹🏻🎪🙌🏼 https://t.co/hnsuaj2QOt	whindersson
text2554	4	2	rápido	rápido	ADJ	ADJ	Masc	Sing	2	ROOT	mais	1	💥 💥 Obrigado meu Deeeeeus!!! <linebreak> Ingressos esgotados!! <linebreak> Mais rápido q os da Taylor Swift!!! <linebreak> Agora só pelo insta mesmo 😂😂😂 <linebreak> E depois Lascados e Pelados no YouTube!  <linebreak> 2 em uma!!!  <linebreak> Até amanhã caraaaai 🙏🏼🙏🏼🙏🏼 https://t.co/NztLcy4skY	whindersson
text1253	2	19	rápido	rápido	ADJ	ADJ	Masc	Sing	17	amod	mais	1	No ano passado, o MPF citou suspeita da ocorrência dos crimes de corrupção e superfaturamento na compra. <linebreak>  <linebreak> O Ministério da Saúde chegou a empenhar R$ 1,6 bilhão para comprar a Covaxin, no contrato mais rápido e com doses mais caras, mas cancelou posteriormente a compra.	oglobo
text2500	1	11	quente	quentar	ADJ	ADJ	Masc	Sing	9	amod	mais	1	Antártida bate recorde de temperatura e fica 38 graus mais quente; entenda https://t.co/5ePO86TbBa	oglobo
text1994	1	17	provável	provável	ADJ	ADJ	Masc	Sing	15	amod	mais	1	Sorteio da Copa do Mundo: simuladores apontam Ucrânia, Escócia ou Gales como adversário mais provável do Brasil; veja as probabilidades https://t.co/zYWwCU6usL	oglobo
text2002	1	17	provável	provável	ADJ	ADJ	Masc	Sing	15	amod	mais	1	Sorteio da Copa do Mundo: simuladores apontam Ucrânia, Escócia ou Gales como adversário mais provável do Brasil; veja as probabilidades para cada seleção https://t.co/FJfXQWj1jR	oglobo
text260	3	19	protegido	proteger	ADJ	ADJ	Masc	Sing	13	ccomp	mais	1	#OAssunto - A confirmação do primeiro caso da ômicron XE no Brasil trouxe preocupações. Em entrevista com a @renataloprete, o biólogo e divulgador científico @oatila avalia que o país está mais protegido do vírus, ""por bons e maus motivos"". Ouça: https://t.co/CuKLq7lE8F #g1 https://t.co/lHDabbita9	g1
text297	3	19	protegido	proteger	ADJ	ADJ	Masc	Sing	13	ccomp	mais	1	#OAssunto - A confirmação do primeiro caso da ômicron XE no Brasil trouxe preocupações. Em entrevista com a @renataloprete, o biólogo e divulgador científico @oatila avalia que o país está mais protegido do vírus, ""por bons e maus motivos"". Ouça: https://t.co/CuKLq7lE8F #g1 https://t.co/Osj507RaK5	g1
text2256	2	2	progressista	progressista	ADJ	ADJ	Fem	Sing	3	nsubj	mais	1	Novo Código de Família mais progressista divide os cubanos, e aprovação em referendo é incerta https://t.co/TaaI3OXByG	oglobo
text1933	1	7	profundo	profundar	ADJ	ADJ	Masc	Sing	2	ccomp	mais	1	@bicmuller Acho que é bem mais profundo e sensível, existem pessoas com doença de pele, queimadas com ácido, enfim, to explicando pq acompanho ela a mto tempo, só isso msm	whindersson
text2473	1	4	profundo	profundar	ADJ	ADJ	Masc	Sing	4	ROOT	mais	1	Mas era mais profundo, era como se eu não valesse nada além do que eu tenho, eu contava centavo  por centavo meus bens tentando parece q me explicar pq eu podia ter sem que alguém precisasse me matar. Era isso pessoa por pessoa	whindersson
text1842	2	6	profunda	profundo	ADJ	ADJ	Fem	Sing	4	amod	mais	1	Comseguiiiiiiii....  vencer na vida:  conseguir entrar na onda mais profunda e louca do mundo com 15 minutos de meditação transcendental... que doideiraaaaaa.. alguem aqui também? Contem suas experiências... vitoriaaaaaa	anitta
text536	1	14	profissional	profissional	ADJ	ADJ	Masc	Sing	12	amod	mais	1	Bolsonaro diz que troca no comando da Petrobras foi por 'alguém mais profissional' https://t.co/gARAweraTR	oglobo
text281	1	16	profissional	profissional	ADJ	ADJ	Masc	Sing	13	amod	mais	1	Bolsonaro diz que tirou Silva e Luna da Petrobras porque precisava de gestor 'mais profissional' https://t.co/JXzTEXKkNj #g1 https://t.co/DVWFikx3uj	g1
text2071	1	12	procurado	procurar	ADJ	ADJ	Masc	Sing	2	acl:relcl	mais	1	O dia em que 'Luva de Pedreiro' foi mais procurado que Neymar, Messi e Cristiano Ronaldo https://t.co/DMsr7suiRw	oglobo
text2707	1	5	presentes	presente	ADJ	ADJ	Masc	Plur	3	amod	mais	1	Algumas das reivindicações mais presentes nos cartazes foram a saída do presidente Jair Bolsonaro (PL) e do deputado Arthur do Val (sem partido) de seus cargos https://t.co/GRxII9MXgx #g1	g1
text1835	4	6	preocupada	preocupar	ADJ	ADJ	Fem	Sing	6	ROOT	mais	1	@karina070793 Olha.... eu bombo independente disso (falo dela pq gosto mesmo)... mas nesse momento tô mais preocupada em ser feliz e plena do que em bombar.. já bombei o suficiente ✌ paz e amor	anitta
text142	1	9	potente	potente	ADJ	ADJ	Masc	Sing	9	ROOT	mais	1	Chegando em 30k o spoiler vai ser mais potente	anitta
text1900	2	6	possível	possível	ADJ	ADJ	Masc	Sing	6	ROOT	mais	1	compartilhada por UM homem vai se espalhando e crescendo a ponto de virar uma guerra infinita depois de décadas. E isso é muito mais possível do que imaginamos. Sabe o que eu faço quando tenho uma opinião negativa sobre algo que não está fazendo mal à absolutamente ninguém?	anitta
text1889	1	8	positivo	positivar	ADJ	ADJ	Masc	Sing	4	amod	mais	1	Otimismo: 7 formas de ser mais positivo mesmo em tempos sombrios https://t.co/f1Wke8YjZW #g1	g1
text1001	4	14	populares	popular	ADJ	ADJ	Fem	Plur	12	amod	mais	1	Vaivém na corrida presidencial: João Doria e Moro se movimentam. Deputado Daniel Silveira vai à PF e coloca tornozeleira eletrônica. O novo álbum da Anitta. E o ""censo de pets"" traz o ranking das raças mais populares do Brasil ==&gt; https://t.co/1k09sgRyK8 #g1 #resumododia https://t.co/mBGiH86kas	g1
text1964	2	7	populares	popular	ADJ	ADJ	Masc	Plur	4	nmod	mais	1	@showdavida App se tornou um dos mais populares do mundo e conquistou mais de meio bilhão de usuários desde 2013. Conheça a história =&gt; https://t.co/VZtlwkZEzS #g1	g1
text1944	1	23	popular	popular	ADJ	ADJ	Fem	Sing	9	amod	mais	1	App de troca de mensagens foi criado pelos irmãos russos que também desenvolveram a rede social 'VK', a mais popular da Rússia https://t.co/BYs9SrJyGC #g1	g1
text2393	1	14	popular	popular	ADJ	ADJ	Masc	Sing	11	amod	mais	1	Rapper cearense chega ao festival em alta, como o representante brasileiro mais popular do trap https://t.co/p9RZJEwSvw #g1 #Lollapalooza2022	g1
text1492	1	9	pobres	pobre	ADJ	ADJ	Masc	Plur	6	conj	mais	1	Datafolha: Lula lidera entre mulheres e mais pobres; Bolsonaro lidera entre os mais ricos ==&gt; https://t.co/Kn2H0IWNCt #g1 https://t.co/qS4OSidkoj	g1
text2433	1	33	paranoicos	paranoicos	ADJ	ADJ	Masc	Plur	31	xcomp	mais	1	Lembro que uma vez a Tiazinha filmou um disco voador foi 2 semana o Gugu falando, hoje pentágono libera os vídeo e o povo nem tchum, não se fazem mais paranoicos como antigamente.	whindersson
text1984	1	9	obrigatório	obrigatório	ADJ	ADJ	Masc	Sing	18	advcl	mais	1	Embora o uso de máscaras não seja mais obrigatório em vários espaços, a pandemia ainda não acabou. Veja como guardar a máscara quando não estiver usando, para não se contaminar https://t.co/GRVDRPJ9Z6 #g1	g1
text2750	1	17	obrigatório	obrigatório	ADJ	ADJ	Masc	Sing	10	advcl	mais	1	Para algumas pessoas, o uso da máscara é essencial, mesmo que não seja mais obrigatório; veja quem são https://t.co/09A03bAoIk #g1	g1
text1640	1	7	obrigatórias	obrigatório	ADJ	ADJ	Fem	Plur	7	ROOT	mais	1	Máscaras no Lollapalooza não serão mais obrigatórias, mas festival recomenda uso. Vai usar? https://t.co/6tb6Xq3tZb #g1 #Lollapalooza2022	g1
text2087	1	32	novo	novo	ADJ	ADJ	Masc	Sing	9	ccomp	mais	1	Rapaz denis lemos, um cara desse tamanho sugerindo que eu poste fotos nuas de alguém na internet por conta de boato irmao, pleno 2020 jow, eu sou mais novo, deveria tá aprendendo com vc irmao, triste isso viu. Mude esse seu pensamento aí man https://t.co/bm9iaNvwtG	whindersson
text2344	7	32	nova	novo	ADJ	ADJ	Fem	Sing	30	amod	mais	1	PROCURA-SE ESSA BANDIDA 🚨🚨🚨 <linebreak> Roubou meu coração e nunca mais me devolveu 😡😡😡😡 <linebreak> E atenção!!! ⚠️⚠️⚠️ <linebreak> A pilantra está com unhas cor “rebú”, ela é mestre nos disfarces e volta e meia pinta o cabeço de Acajú e acha q tá 10 anos mais nova” <linebreak> Te amo mãe 😂😂😂❤️❤️❤️ https://t.co/NQokCqlb8H	whindersson
